seed,banda,queda_prob,sample,target_class
7,Manhattan (P),-0.060458481311798096,5,0
7,Manhattan (G),-0.048696935176849365,5,0
7,Manhattan (H),-0.006163597106933594,5,0
12,Minkowski (P),-0.0627431869506836,5,0
12,Minkowski (G),-0.005414128303527832,5,0
12,Minkowski (H),0.0255773663520813,5,0
12,Euclidiana (P),-0.01329946517944336,5,0
12,Euclidiana (G),-0.03782135248184204,5,0
12,Euclidiana (H),-0.021154403686523438,5,0
12,Manhattan (P),-0.0433955192565918,5,0
12,Manhattan (G),-0.022967278957366943,5,0
12,Manhattan (H),0.015317797660827637,5,0
42,Minkowski (P),-0.004791080951690674,5,0
42,Minkowski (G),0.013111531734466553,5,0
42,Minkowski (H),-0.008027136325836182,5,0
42,Euclidiana (P),-0.04532390832901001,5,0
42,Euclidiana (G),-0.006875157356262207,5,0
42,Euclidiana (H),0.0017497539520263672,5,0
42,Manhattan (P),0.011059403419494629,5,0
42,Manhattan (G),-0.017806708812713623,5,0
42,Manhattan (H),0.027528762817382812,5,0
65,Minkowski (P),-0.024281680583953857,5,0
65,Minkowski (G),0.014290392398834229,5,0
65,Minkowski (H),0.024028241634368896,5,0
65,Euclidiana (P),-0.017059683799743652,5,0
65,Euclidiana (G),-0.011319458484649658,5,0
65,Euclidiana (H),-0.006074070930480957,5,0
65,Manhattan (P),-0.008056223392486572,5,0
65,Manhattan (G),-0.013361930847167969,5,0
65,Manhattan (H),0.012270092964172363,5,0
87,Minkowski (P),-0.002732217311859131,5,0
87,Minkowski (G),-0.0013523101806640625,5,0
87,Minkowski (H),0.0022393465042114258,5,0
87,Euclidiana (P),-0.0017403960227966309,5,0
87,Euclidiana (G),-0.0015711784362792969,5,0
87,Euclidiana (H),6.854534149169922e-06,5,0
87,Manhattan (P),5.9545040130615234e-05,5,0
87,Manhattan (G),-0.00047278404235839844,5,0
87,Manhattan (H),-0.0006917715072631836,5,0
93,Minkowski (P),-0.01242130994796753,5,0
93,Minkowski (G),-0.00946199893951416,5,0
93,Minkowski (H),7.480382919311523e-05,5,0
93,Euclidiana (P),-0.008022308349609375,5,0
93,Euclidiana (G),-0.009116947650909424,5,0
93,Euclidiana (H),-0.009335160255432129,5,0
93,Manhattan (P),-0.009032130241394043,5,0
93,Manhattan (G),-0.010100364685058594,5,0
93,Manhattan (H),-0.0096396803855896,5,0
107,Minkowski (P),-0.054709434509277344,5,0
107,Minkowski (G),-0.04451090097427368,5,0
107,Minkowski (H),-0.012141942977905273,5,0
107,Euclidiana (P),-0.06744879484176636,5,0
107,Euclidiana (G),-0.04254043102264404,5,0
107,Euclidiana (H),-0.040525078773498535,5,0
107,Manhattan (P),-0.05132949352264404,5,0
107,Manhattan (G),-0.038303375244140625,5,0
107,Manhattan (H),-0.038295865058898926,5,0
121,Minkowski (P),-0.15399497747421265,5,0
121,Minkowski (G),-0.13717234134674072,5,0
121,Minkowski (H),-0.06452584266662598,5,0
121,Euclidiana (P),-0.10135942697525024,5,0
121,Euclidiana (G),-0.11917394399642944,5,0
121,Euclidiana (H),-0.0814020037651062,5,0
121,Manhattan (P),-0.09057658910751343,5,0
121,Manhattan (G),-0.06284910440444946,5,0
121,Manhattan (H),0.026514887809753418,5,0
